movie_id,rank,title,m_runtime,year,rating,votes
tt7286456,1,Joker,2h 2m,2019,8.4,1600000
tt4154796,2,Avengers: Endgame,3h 1m,2019,8.4,1300000
tt4154756,3,Avengers: Infinity War,2h 29m,2018,8.4,1200000
tt6751668,4,Parasite,2h 12m,2019,8.5,1000000
tt7131622,5,Once Upon a Time... in Hollywood,2h 41m,2019,7.6,878000
tt1825683,6,Black Panther,2h 14m,2018,7.3,856000
tt8946378,7,Knives Out,2h 10m,2019,7.9,796000
tt8579674,8,1917,1h 59m,2019,8.2,703000
tt4633694,9,Spider-Man: Into the Spider-Verse,1h 57m,2018,8.4,702000
tt5463162,10,Deadpool 2,1h 59m,2018,7.6,691000
tt4154664,11,Captain Marvel,2h 3m,2019,6.8,624000
tt6644200,12,A Quiet Place,1h 30m,2018,7.5,613000
tt6723592,13,Tenet,2h 30m,2020,7.3,612000
tt1727824,14,Bohemian Rhapsody,2h 14m,2018,7.9,609000
tt6966692,15,Green Book,2h 10m,2018,8.2,605000
tt6320628,16,Spider-Man: Far from Home,2h 9m,2019,7.4,577000
tt1270797,17,Venom,1h 52m,2018,6.6,560000
tt1477834,18,Aquaman,2h 23m,2018,6.8,530000
tt2527338,19,Star Wars: Episode IX - The Rise of Skywalker,2h 21m,2019,6.4,506000
tt1677720,20,Ready Player One,2h 20m,2018,7.4,502000
tt1950186,21,Ford v Ferrari,2h 32m,2019,8.1,501000
tt5095030,22,Ant-Man and the Wasp,1h 58m,2018,7.0,462000
tt2584384,23,Jojo Rabbit,1h 48m,2019,7.9,455000
tt1302006,24,The Irishman,3h 29m,2019,7.8,442000
tt6146586,25,John Wick: Chapter 3 - Parabellum,2h 10m,2019,7.4,440000
tt8772262,26,Midsommar,2h 28m,2019,7.1,429000
tt1517451,27,A Star Is Born,2h 16m,2018,7.6,429000
tt8367814,28,The Gentlemen,1h 53m,2019,7.8,419000
tt7784604,29,Hereditary,2h 7m,2018,7.3,401000
tt2737304,30,Bird Box,2h 4m,2018,6.6,398000
tt2948372,31,Soul,1h 40m,2020,8.0,395000
tt0448115,32,Shazam!,2h 12m,2019,7.0,393000
tt3778644,33,Solo: A Star Wars Story,2h 15m,2018,6.9,388000
tt4912910,34,Mission: Impossible - Fallout,2h 27m,2018,7.7,387000
tt2798920,35,Annihilation,1h 55m,2018,6.8,371000
tt6857112,36,Us,1h 56m,2019,6.8,355000
tt7653254,37,Marriage Story,2h 17m,2019,7.9,354000
tt4881806,38,Jurassic World: Fallen Kingdom,2h 8m,2018,6.1,352000
tt3606756,39,Incredibles 2,1h 58m,2018,7.5,342000
tt5727208,40,Uncut Gems,2h 15m,2019,7.4,327000
tt4123430,41,Fantastic Beasts: The Crimes of Grindelwald,2h 14m,2018,6.5,315000
tt7349950,42,It Chapter Two,2h 49m,2019,6.5,315000
tt9243946,43,El Camino,2h 2m,2019,7.3,305000
tt0437086,44,Alita: Battle Angel,2h 2m,2019,7.3,303000
tt7126948,45,Wonder Woman 1984,2h 31m,2020,5.4,297000
tt7349662,46,BlacKkKlansman,2h 15m,2018,7.5,297000
tt6139732,47,Aladdin,2h 8m,2019,6.9,297000
tt8228288,48,The Platform,1h 34m,2019,7.0,296000
tt7975244,49,Jumanji: The Next Level,2h 3m,2019,6.7,295000
tt8332922,50,A Quiet Place Part II,1h 37m,2020,7.2,293000
tt1979376,51,Toy Story 4,1h 40m,2019,7.6,290000
tt6823368,52,Glass,2h 9m,2019,6.6,285000
tt6105098,53,The Lion King,1h 58m,2019,6.8,273000
tt8936646,54,Extraction,1h 56m,2020,6.8,271000
tt7713068,55,Birds of Prey,1h 49m,2020,6.1,270000
tt7984734,56,The Lighthouse,1h 49m,2019,7.4,268000
